,well,row,column,image,cell_line,siRNA,1NM_conc,time,MI,cell_count
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,50,45.93,492
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,60,56.16,495
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,70,57.84,491
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,80,60.79,482
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,90,60.46,483
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,100,59.96,492
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,110,59.39,490
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,120,60.83,480
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,130,59.18,485
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,140,60.29,486
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,150,60.33,484
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,160,58.46,479
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,170,56.64,482
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,180,57.4,493
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,190,56.85,489
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,200,57.74,478
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,210,57.71,480
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,220,59.43,488
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,230,60.04,483
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,0,2.61,459
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,10,3.66,465
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,20,2.81,463
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,30,6.01,466
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,40,26.98,467
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,50,46.22,450
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,60,56.88,443
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,70,60.86,442
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,80,62.08,443
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,90,60.96,438
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,100,60.96,438
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,110,61.17,443
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,120,59.68,439
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,130,60.18,447
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,140,59.95,437
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,150,56.06,437
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,160,57.92,442
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,170,58.11,444
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,180,57.34,443
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,190,58.65,445
